BillNo_Automatic,Agr_Uni_Code,agr_name,agr_code,agr_no,Item_code,item_Short_name,itemname,Item_group_code,item_group_name,Bill_Date,challanno,issue_qty,recv_qty,irflag,billfr,billto,rate,broken_amt,frshop,froffice,brok_qty,brok_rate,miss_flag,cutcode,cutamt,cartcode,cartamt,narr,prnnarr,b1_rate,b1_qty,b1_amt,b1_narr,b2_rate,b2_qty,b2_amt,b2_narr,b3_rate,b3_qty,b3_amt,b3_narr,misc1,misc2,misc3,misc4,misc5,misc6,SNO,Contact_Prs_Ph,Transporter_Name,Gr_No,VehicleNo,Driver_Name,DL_No,Permit_no,Contact_Prs_Ph_No,Apx_weight,Apx_value,bill_Enter_Date,Trip_No,b4_rate,b4_qty,b4_amt,b4_narr,b5_rate,b5_qty,b5_amt,b5_narr,b6_rate,b6_qty,b6_amt,b6_narr,b7_rate,b7_qty,b7_amt,b7_narr,b8_rate,b8_qty,b8_amt,b8_narr,b9_rate,b9_qty,b9_amt,b9_narr,b10_rate,b10_qty,b10_amt,b10_narr,Bill_Amt,rec_type,Tnx_type,UNIT_NAME,ItemType,Tax_Code,Tax_Name,Tax_Per,Tax_Amt,Dis_Per,Dis_Amt,Gross_Amt,Tot_Qty,B_Add_Off_Site,B_HSN_Code,B_GST_Type,B_State_Code,B_Tax_YN,B_IGST_Per,B_IGST_Amt,B_SGST_Per,B_SGST_Amt,B_CGST_Per,B_CGST_Amt,B_Reverse_Charge,B_Electronic_Ref_No,B_REF_2,Weight_Per_pcs,Tot_Weight_of_pcs,Manual_BillNo,ORDNO,ORD_DATE,Trx_CODE,Trx_Name,PKG,C_FORM,NET_AMT,tot_amt,Transporter_Code,Fraight,remark,site_add,TODO,AMT_IN_WOR,DUEDATE,ROUNDOFF,station_Name,Qty_Kg,Tot_Kg
1,308,GULERMAK- TPL PUNE METRO JOINT VENTURE,GULERMAK3,OH,68,sHORT NAME,U HEAD JACK,22,U JACK,07/04/2023,1,610,0,I,,,10,,0,610,,,,MISC A/C,0,CARTAGE A/C,88800,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,01-May-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,IGST,27        ,N,18,0,0,0,0,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
10,309,M/S J. KUMAR INFRAPROJECTS LTD.,J KUMAR,OH,14,sHORT NAME,LEDGER 0.9 METER,5,LEDGER,18/04/2023,10,1000,0,I,,,0,,0,1000,,,,MISC A/C,0,CARTAGE A/C,8000,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,02-May-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,IGST,07        ,N,18,0,0,0,0,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
10,309,M/S J. KUMAR INFRAPROJECTS LTD.,J KUMAR,OH,12,sHORT NAME,LEDGER 1.0 METER,5,LEDGER,18/04/2023,10,600,0,I,,,0,,0,600,,,,MISC A/C,0,CARTAGE A/C,8000,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,02-May-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,IGST,07        ,N,18,0,0,0,0,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
59,289,24 NO. SEC. 16 SATISH JI,24-16,OH,29,sHORT NAME,SPAN INNER 3.0 MTR PROP,23,PROP 2*2,26/04/2023,10,0,250,R,,,10,,0,250,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,8,,,,,,,,,,,04-Jun-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,289,24 NO. SEC. 16 SATISH JI,24-16,OH,30,sHORT NAME,SPAN INNER 4.0 MTR PROP,12,PROPS,26/04/2023,10,0,160,R,,,0,,0,160,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,9,,,,,,,,,,,04-Jun-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,289,24 NO. SEC. 16 SATISH JI,24-16,OH,31,sHORT NAME,SPAN OUTER 2.0 METER,12,PROPS,26/04/2023,10,0,260,R,,,10,,0,260,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,10,,,,,,,,,,,04-Jun-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,309,M/S J. KUMAR INFRAPROJECTS LTD.,J KUMAR,OH,43,sHORT NAME,SPIGOT [JOINT] PIN,15,SPYGOT,18/04/2023,10,600,0,I,,,0,,0,600,,,,MISC A/C,0,CARTAGE A/C,8000,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,02-May-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,IGST,07        ,N,18,0,0,0,0,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
10,309,M/S J. KUMAR INFRAPROJECTS LTD.,J KUMAR,OH,50,sHORT NAME,STANDARD 3.0 METER,16,STANDARD,18/04/2023,10,200,0,I,,,10,,0,200,,,,MISC A/C,0,CARTAGE A/C,8000,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,02-May-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,IGST,07        ,N,18,0,0,0,0,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
108,274,SAHIL INFRA TRADERS,SAHILSHUTTERING,OH,1,sHORT NAME,BASE PLATE JACK,22,U JACK,19/09/2023,100,50,0,I,,,140,,0,50,,,,MISC A/C,0,CARTAGE A/C,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,30-Sep-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,SGST-CGST,06        ,Y,0,0,9,0,9,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
108,274,SAHIL INFRA TRADERS,SAHILSHUTTERING,OH,10,sHORT NAME,LEDGER 1.5 METER,5,LEDGER,19/09/2023,100,100,0,I,,,250,,0,100,,,,MISC A/C,0,CARTAGE A/C,0,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,30-Sep-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,SGST-CGST,06        ,Y,0,0,9,0,9,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
120,266,SUPERIOR GLASS,SUPERIOR,OH,43,sHORT NAME,SPIGOT [JOINT] PIN,15,SPYGOT,19/08/2023,100,0,65,R,,,0,,0,65,,,,MISC A/C,0,CARTAGE A/C,0,,,0,0,0,  ,0,0,0,  ,0,0,0,  ,,,,,,,1,,,,,,,,,,,02-Sep-23,1,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,266,SUPERIOR GLASS,SUPERIOR,OH,47,sHORT NAME,STANDARD 2.5 METER,16,STANDARD,19/08/2023,100,0,26,R,,,10,,0,26,,,,MISC A/C,0,CARTAGE A/C,0,,,0,0,0,  ,0,0,0,  ,0,0,0,  ,,,,,,,2,,,,,,,,,,,02-Sep-23,1,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,266,SUPERIOR GLASS,SUPERIOR,OH,50,sHORT NAME,STANDARD 3.0 METER,16,STANDARD,19/08/2023,100,0,54,R,,,10,,0,54,,,,MISC A/C,0,CARTAGE A/C,0,,,0,0,0,  ,0,0,0,  ,0,0,0,  ,,,,,,,3,,,,,,,,,,,02-Sep-23,1,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,  ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,12,sHORT NAME,LEDGER 1.0 METER,5,LEDGER,21/08/2023,101,0,460,R,,,0,,0,460,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0,   ,0,0,0,   ,0,0,0,   ,,,,,,,1,,,,,,,,,,,01-Sep-23,1,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,11,sHORT NAME,LEDGER 1.2 METER,5,LEDGER,21/08/2023,101,0,410,R,,,10,,0,410,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0,   ,0,0,0,   ,0,0,0,   ,,,,,,,2,,,,,,,,,,,01-Sep-23,1,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,43,sHORT NAME,SPIGOT [JOINT] PIN,15,SPYGOT,21/08/2023,101,0,178,R,,,0,,0,178,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0,   ,0,0,0,   ,0,0,0,   ,,,,,,,3,,,,,,,,,,,01-Sep-23,1,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,44,sHORT NAME,STANDARD 0.5 METER,16,STANDARD,21/08/2023,101,0,135,R,,,10,,0,135,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0,   ,0,0,0,   ,0,0,0,   ,,,,,,,4,,,,,,,,,,,01-Sep-23,1,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,46,sHORT NAME,STANDARD 1.0 METER,16,STANDARD,21/08/2023,101,0,32,R,,,10,,0,32,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0,   ,0,0,0,   ,0,0,0,   ,,,,,,,5,,,,,,,,,,,01-Sep-23,1,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,45,sHORT NAME,STANDARD 1.5 METER,16,STANDARD,21/08/2023,101,0,28,R,,,10,,0,28,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0,   ,0,0,0,   ,0,0,0,   ,,,,,,,6,,,,,,,,,,,01-Sep-23,1,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,50,sHORT NAME,STANDARD 3.0 METER,16,STANDARD,21/08/2023,101,0,250,R,,,10,,0,250,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0,   ,0,0,0,   ,0,0,0,   ,,,,,,,7,,,,,,,,,,,01-Sep-23,1,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,   ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,266,SUPERIOR GLASS,SUPERIOR,OH,11,sHORT NAME,LEDGER 1.2 METER,5,LEDGER,23/08/2023,102,0,58,R,,,10,,0,58,,,,MISC A/C,0,CARTAGE A/C,0,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,3,,,,,,,,,,,08-Sep-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,10,sHORT NAME,LEDGER 1.5 METER,5,LEDGER,22/09/2023,102,150,0,I,,,250,,0,150,,,,MISC A/C,0,CARTAGE A/C,8000,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,01-Oct-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,IGST,07        ,N,18,0,0,0,0,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
128,266,SUPERIOR GLASS,SUPERIOR,OH,10,sHORT NAME,LEDGER 1.5 METER,5,LEDGER,23/08/2023,102,0,155,R,,,250,,0,155,,,,MISC A/C,0,CARTAGE A/C,0,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,4,,,,,,,,,,,08-Sep-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,33,sHORT NAME,PROPS 2MX3M,12,PROPS,22/09/2023,102,348,0,I,,,0,,0,348,,,,MISC A/C,0,CARTAGE A/C,8000,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,01-Oct-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,IGST,07        ,N,18,0,0,0,0,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
128,266,SUPERIOR GLASS,SUPERIOR,OH,43,sHORT NAME,SPIGOT [JOINT] PIN,15,SPYGOT,23/08/2023,102,0,15,R,,,0,,0,15,,,,MISC A/C,0,CARTAGE A/C,0,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,6,,,,,,,,,,,08-Sep-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,266,SUPERIOR GLASS,SUPERIOR,OH,47,sHORT NAME,STANDARD 2.5 METER,16,STANDARD,23/08/2023,102,0,3,R,,,10,,0,3,,,,MISC A/C,0,CARTAGE A/C,0,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,8,,,,,,,,,,,08-Sep-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,1,sHORT NAME,BASE PLATE JACK,22,U JACK,23/08/2023,103,0,50,R,,,140,,0,50,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,1,,,,,,,,,,,01-Sep-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,12,sHORT NAME,LEDGER 1.0 METER,5,LEDGER,23/08/2023,103,0,585,R,,,0,,0,585,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,5,,,,,,,,,,,01-Sep-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,11,sHORT NAME,LEDGER 1.2 METER,5,LEDGER,23/08/2023,103,0,310,R,,,10,,0,310,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,6,,,,,,,,,,,01-Sep-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,306,5 NO JHAJJAR,JHAJJAR,OH,33,sHORT NAME,PROP 2MX3M,12,PROPS,25/09/2023,103,350,0,I,,,0,,0,350,,,,MISC A/C,0,CARTAGE A/C,8000,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,30-Sep-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,997313,SGST-CGST,06        ,N,0,0,9,0,9,0,NO,NO,B_REF_2,,,,,,,,,,,,,,,,,,,,,,
123,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,43,sHORT NAME,SPIGOT [JOINT] PIN,15,SPYGOT,23/08/2023,103,0,183,R,,,0,,0,183,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,11,,,,,,,,,,,01-Sep-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,46,sHORT NAME,STANDARD 1.0 METER,16,STANDARD,23/08/2023,103,0,50,R,,,10,,0,50,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,13,,,,,,,,,,,01-Sep-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,47,sHORT NAME,STANDARD 2.5 METER,16,STANDARD,23/08/2023,103,0,5,R,,,10,,0,5,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,16,,,,,,,,,,,01-Sep-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,298,D-4 UDYOG NAGAR,UDYOG NAGAR,OH,50,sHORT NAME,STANDARD 3.0 METER,16,STANDARD,23/08/2023,103,0,260,R,,,10,,0,260,,,,MISC A/C,0,CARTAGE A/C,7000,,,0,0,0, ,0,0,0, ,0,0,0, ,,,,,,,17,,,,,,,,,,,01-Sep-23,1,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
